0,1,2,3,4,5
01/01/2014 05:15:45.960,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:45.964,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:45.968,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:45.972,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:45.976,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:45.980,6e-05,5e-05,1e-05,9e-05,342.42
01/01/2014 05:15:45.984,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:45.988,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:45.992,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:45.996,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.000,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.004,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.008,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.012,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.016,3e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.020,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.024,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.028,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.032,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.036,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.040,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.044,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.048,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.052,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.056,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.060,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.064,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.068,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.072,3e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.076,6e-05,0.00013,8e-05,0.0,342.42
01/01/2014 05:15:46.080,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.084,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.088,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.092,6e-05,5e-05,1e-05,9e-05,342.42
01/01/2014 05:15:46.096,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.100,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.104,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.108,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.112,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.116,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.120,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.124,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.128,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.132,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.136,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.140,6e-05,0.00013,1e-05,0.0,342.42
01/01/2014 05:15:46.144,6e-05,0.00013,8e-05,9e-05,342.42
01/01/2014 05:15:46.148,3e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.152,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.156,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.160,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.164,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.168,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.172,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.176,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.180,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.184,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.188,6e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.192,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.196,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.200,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.204,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.208,6e-05,0.00013,8e-05,0.0,342.42
01/01/2014 05:15:46.212,6e-05,0.00013,8e-05,0.0,342.42
01/01/2014 05:15:46.216,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.220,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.224,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.228,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.232,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.236,3e-05,5e-05,8e-05,9e-05,342.42
01/01/2014 05:15:46.240,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.244,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.248,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.252,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.256,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.260,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.264,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.268,6e-05,5e-05,8e-05,0.0,342.42
01/01/2014 05:15:46.272,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.276,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.280,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.284,6e-05,0.00013,1e-05,0.0,342.42
01/01/2014 05:15:46.288,6e-05,5e-05,1e-05,0.0,342.42
01/01/2014 05:15:46.292,3e-05,5e-05,1e-05,9e-05,342.42
